Título,Comuna,Metros Cuadrados,Dormitorios,Baños,Estacionamientos,Precio_CLP,Metros_Imputados
ArriendoDepto1D/50%DCTO/1ERMESGRATISGC/Garantíaenpartes/UniversidaddeSantiago,EstaciónCentral,35.0,1.0,1.0,0.0,260000.0,True
Depto.2D+1B+E+B/50%DCTO/1ERMESGRATISGC/Garantíaenpartes/SanAlbertoHurtado,EstaciónCentral,52.0,2.0,1.0,1.0,340000.0,True
TRESDORMITORIOSUNBAÑOYBODEGAyDOSDORMITORIOSDISPONIBLESEDIFICIONUCLEO,EstaciónCentral,65.0,3.0,2.0,0.0,450000.0,False
"DEPARTAMENTOThompson4225,EstaciónCentral",EstaciónCentral,32.0,1.0,1.0,0.0,295000.0,False
DEPARTAMENTOZañartu980,Ñuñoa,37.0,1.0,1.0,0.0,379968.0,False
"DEPARTAMENTOCoronelRobles1140,Quintanormal",QuintaNormal,54.0,2.0,2.0,0.0,403530.0,False
"DEPARTAMENTOSanIgnacio952,Santiago.",Santiago,40.0,2.0,1.0,0.0,405000.0,False
"DEPARTAMENTOPortugal755,Santiago.",Santiago,40.0,2.0,1.0,0.0,415000.0,False
ARRIENDODOSDORMITORIOSMETROHOSPITALESINDEPENDENCIA,Independencia,45.0,2.0,1.0,0.0,320000.0,False
"Arriendo1Dormitorio,SantaRosa,MetroSantaLucia",Santiago,36.0,1.0,1.0,0.0,270000.0,False
"DEPARTAMENTOSanDiego895,Santiago.",Santiago,43.0,2.0,1.0,0.0,410000.0,False
"DEPARTAMENTOCoronelRobles1140,QuintaNormal.",QuintaNormal,29.0,1.0,1.0,0.0,302000.0,False
DEPARTAMENTOZañartu980,Ñuñoa,49.0,2.0,2.0,0.0,515000.0,False
DEPARTAMENTONuevaAndrésBello1826,Independencia,48.0,3.0,1.0,0.0,430000.0,False
DEPARTAMENTONuevaAndrésBello1826,Independencia,41.0,2.0,1.0,0.0,350000.0,False
"DEPARTAMENTOLira254,Santiago.",Santiago,30.0,1.0,1.0,0.0,329000.0,False
"Arriendo1dorm.Chiloé1221,MetroMatta",Santiago,34.0,1.0,1.0,0.0,270000.0,False
DEPARTAMENTOAbateMolina/Av.BlancoEncalada,Santiago,39.0,1.0,1.0,0.0,230000.0,False
"DEPARTAMENTOPortugal755,Santiago.",Santiago,31.0,1.0,1.0,0.0,340000.0,False
"DEPARTAMENTOPedroMira1028,SanMiguel.",SanMiguel,32.0,1.0,1.0,0.0,360000.0,False
"DEPARTAMENTOLira320,Santiago",Santiago,31.0,1.0,1.0,0.0,309000.0,False
"DEPARTAMENTOLira320,Santiago.",Santiago,25.0,1.0,1.0,0.0,295000.0,False
"DEPARTAMENTOPedroMira1028,SanMiguel.",SanMiguel,44.0,2.0,1.0,0.0,420000.0,False
"DEPARTAMENTOThompson4225,EstaciónCentral",EstaciónCentral,47.0,2.0,2.0,0.0,395000.0,False
"DEPARTAMENTOColón6503,LaCisterna.",LaCisterna,44.0,2.0,2.0,0.0,380000.0,False
"DEPARTAMENTOColón6503,LaCisterna.",LaCisterna,38.0,2.0,1.0,0.0,330000.0,False
DeptoDe1Dormitorio+1BañoCercanoAMetroEcuador,EstaciónCentral,35.0,1.0,1.0,0.0,230000.0,True
"ArriendoHomeStudioGeneralMackenna1555,Santiago",Santiago,26.0,1.0,1.0,0.0,260000.0,False
"DEPARTAMENTOArturoPrat1237,Santiago.",Santiago,28.0,1.0,1.0,0.0,329000.0,False
"DEPARTAMENTOArturoPrat1237,Santiago.",Santiago,44.0,2.0,1.0,0.0,379463.0,False
"DEPARTAMENTOIndependencia560,independencia",Independencia,36.0,2.0,1.0,0.0,368500.0,False
"DEPARTAMENTOPoetaPedroPrado1353,quintanormal.",QuintaNormal,45.0,2.0,1.0,0.0,356600.0,False
ARRIENDODEPARTAMENTO2D+2B+1BODEGA+ESTACIONAMIENTO,Santiago,59.0,2.0,2.0,0.0,587000.0,False
Hermosodepartamentoduplexconestacionamiento,Independencia,65.0,3.0,1.0,1.0,550000.0,True
"DEPARTAMENTOSanDiego895,Santiago.",Santiago,30.0,1.0,1.0,0.0,335000.0,False
DepartamentoenarriendoMetroMoneda,Santiago,35.0,1.0,1.0,0.0,280000.0,True
"ARRIENDOdeptoenLlanquihue6290,LaFlorida",LaFlorida,57.0,2.0,2.0,1.0,560000.0,False
DEPARTAMENTORodrigodeAraya/PedrodeValdivia,Macul,55.0,2.0,2.0,0.0,560000.0,False
"Dpto.1Dorm/1Baño/1Bod.Av.España,SantiagoCentro.",Santiago,36.0,1.0,1.0,0.0,330000.0,False
"Arriendo1DORM,1BAÑO,Chiloé1221,MetroMatta",Santiago,34.0,1.0,1.0,0.0,280000.0,False
"DEPARTAMENTOIndependencia560,independencia",Independencia,28.0,1.0,1.0,0.0,261000.0,False
DEPARTAMENTOVargasBuston770SanMiguel,SanMiguel,47.0,2.0,1.0,0.0,350000.0,False
DEPARTAMENTOCUARTAAVENIDA/PRIMERATRANSVERSAL,SanMiguel,43.0,2.0,1.0,0.0,300000.0,False
¡OPORTUNIDAD!Seminuevo-HermosoDepto-carlosValdovinos/GranAvda.-metroElLlano.,SanMiguel,53.0,2.0,1.0,1.0,440000.0,False
"DEPARTAMENTOSanIgnacio952,Santiago.",Santiago,30.0,1.0,1.0,0.0,329000.0,False
"DEPARTAMENTOHipódromo1310,Independencia.",Independencia,28.0,1.0,1.0,0.0,299000.0,False
DEPARTAMENTOCoronelSouper4250,EstaciónCentral,38.0,1.0,1.0,0.0,285000.0,False
"Dpto.2Dorm/2Baños/1Est.ApasosdeL2metroElParrón,LaCisterna.",LaCisterna,52.0,2.0,2.0,1.0,440000.0,True
"Dpto2D.1B,1Est.MetroSantaAnaallado.",Santiago,52.0,2.0,1.0,1.0,400000.0,True
"DEPARTAMENTOPoetaPedroPrado1353,quintanormal.",QuintaNormal,59.0,3.0,1.0,0.0,386100.0,False
ArriendoDepto.2D/2B+EstyBod-Santiago,Santiago,45.0,2.0,2.0,1.0,500000.0,False
"DEPARTAMENTOAviadorAcevedo1644,conchalí.",Conchalí,30.0,1.0,1.0,0.0,248200.0,False
"DEPARTAMENTOAviadorAcevedo1644,conchalí.",Conchalí,45.0,2.0,1.0,0.0,373000.0,False
"DEPARTAMENTOAviadorAcevedo1644,conchalí.",Conchalí,31.0,1.0,1.0,0.0,288100.0,False
DepartamentoenCarrión,Independencia,36.0,1.0,1.0,0.0,350000.0,False
DepartamentoenYungay,Santiago,30.0,1.0,1.0,0.0,280000.0,False
DEPARTAMENTOColon6479,LaCisterna,52.0,2.0,1.0,0.0,248000.0,True
DEPARTAMENTO2D+1BCERCANOAMETROSANTALUCÍA,Santiago,52.0,2.0,1.0,0.0,340000.0,True
HABITACIONESTUDIANTE.WCPRIVADO.ENÑUÑOA.SINGG.CCNICOMISION,Santiago,35.0,1.0,1.0,0.0,260000.0,True
HERMOSOYBUENUBICADODEP01H01B01EST01BODAVLASCONDES7167,LasCondes,35.0,1.0,1.0,1.0,650000.0,True
LINDODEPARTAMENTO1D+1BCERCADEMETROSANALBERTOHURTADO,EstaciónCentral,35.0,1.0,1.0,0.0,250000.0,True
"Departamentode3dormitorios,1baño,1estacionamiento",Cerrillos,65.0,3.0,1.0,1.0,480000.0,True
¡¡LindoDeptoDe2D+1B+ESTenMacul!!,Macul,52.0,2.0,1.0,1.0,520000.0,True
HERMOSODEPARTAMENTOAMOBLADO2D+1BMETROELLLANO,SanMiguel,52.0,2.0,1.0,0.0,460000.0,True
"LINDODEPARTAMENTO3D+1B+EST,CERCANOAMETROCIUDADDELNIÑO!!",SanMiguel,65.0,3.0,1.0,1.0,350000.0,True
HERMOSOYMUYBIENUBICADODEP02H02B01EST01BODEGA,Ñuñoa,80.0,2.0,2.0,1.0,650000.0,False
"HERMOSODEPARTAMENTO1B+1D+ESTACIONAMIENTO,COMUNADESANMIGUEL",SanMiguel,35.0,1.0,1.0,1.0,400000.0,True
SEARRIENDACÓMODOYBIENUBICADODEP01H01BQUINTAAV1475,SanMiguel,32.0,1.0,1.0,0.0,280000.0,False
DEPARTAMENTODE1D+1BAMOBLADOCERCADEMETROESTADIONACIONAL!,Ñuñoa,35.0,1.0,1.0,0.0,360000.0,True
"DEPARTAMENTOIndependencia560,independencia",Independencia,3844.0,1.0,1.0,0.0,355000.0,False
BELLODEPARTAMENTO1D+1BCERCANOAMETROSANALBERTOHURTADO,Santiago,35.0,1.0,1.0,0.0,240000.0,True
BELLODEPARTAMENTO1D+1BCERCAALMETROECUADOR,LaCisterna,35.0,1.0,1.0,0.0,250000.0,True
SearriendaDepto2D+2B+Est+BodcercanoaMetroSanAlbertoHurtado,EstaciónCentral,52.0,2.0,2.0,1.0,330000.0,True
"HERMOSODEPARTAMENTO1D+1B+ESTACIONAMIENTO,METROFRANKLIN",SanMiguel,35.0,1.0,1.0,1.0,400000.0,True
BELLODEPARTAMENTO1D+1B+ESTACIONAMIENTOENMACUL,Macul,35.0,1.0,1.0,1.0,500000.0,True
Departamentocalidoycomodo-oportunidad,EstaciónCentral,35.0,1.0,1.0,1.0,260000.0,True
¡HermosoDpto2D+1B+ESTYBOD!¡cercanoAMetroEcuador!,EstaciónCentral,52.0,2.0,1.0,1.0,295000.0,True
ArriendoDepto.1D/MesgastocomúnGRATIS/Garantíaenpartes/CercaMetroSanAlbertoHurtado,EstaciónCentral,35.0,1.0,1.0,0.0,260000.0,True
DepartamentoCALLESANIGNACIODELOYOLA4250SANMIGUEL-TIPOESTUDIO,SanMiguel,28.0,1.0,1.0,0.0,250000.0,False
DepartamentodeunambienteapasosdelMetro,Santiago,35.0,1.0,1.0,0.0,250000.0,True
DepartamentoALAMEDA4103COMUNAESTACIÓNCENTRAL,EstaciónCentral,52.0,2.0,2.0,0.0,300000.0,False
DepartamentoenAvenidaMaríaRozasVelásquez,EstaciónCentral,30.0,1.0,1.0,0.0,270000.0,False
DepartamentoenPabloUrzúa,Independencia,48.0,2.0,1.0,0.0,360000.0,False
DepartamentoenWalkerMartínez,LaFlorida,45.0,2.0,2.0,1.0,478400.0,False
DepartamentoCALLECONDEDELMAULE4470/ESTACIÓNCENTRAL,EstaciónCentral,30.0,1.0,1.0,0.0,220000.0,False
DEPARTAMENTOAmunategui/SanPablo,Santiago,35.0,1.0,1.0,0.0,255000.0,False
"DEPTO1HAB+1BAÑ,PISO20,PROMO250.000X2MESES",EstaciónCentral,35.0,1.0,1.0,0.0,270000.0,True
DEPARTAMENTOcatedral4245,QuintaNormal,43.0,1.0,1.0,0.0,250000.0,False
DepartamentoPRIMERAAVENIDA1336SANMIGUEL,SanMiguel,48.0,2.0,1.0,0.0,400000.0,False
DepartamentoCALLEALCALDEPEDROALARCON834-METROELLLANO,SanMiguel,67.0,3.0,2.0,0.0,540000.0,False
Depto.Ñuñoacuadrasmetroirrarazabal-2D/2B-Estacionamiento,Ñuñoa,55.0,2.0,2.0,1.0,620000.0,False
DepartamentoAVENIDASANTAROSA265-L1SANTALUCIA,Santiago,32.0,1.0,1.0,0.0,290000.0,False
DepartamentoGRANAVENIDA6250COMUNADESANMIGUEL,SanMiguel,48.0,2.0,1.0,0.0,400000.0,False
ArriendoDepto.1D/1B-Santiago,Santiago,32.0,1.0,1.0,0.0,400000.0,False
DepartamentoCUARTAAVENIDA1350COMUNADESANMIGUEL,SanMiguel,47.0,2.0,2.0,0.0,400000.0,False
DepartamentoCALLEMAPOCHO1522COMUNADESANTIAGO,Santiago,26.0,1.0,1.0,0.0,220000.0,False
"DepartamentoCALLESANFRANCISCO294,SANTIAGOCENTRO",Santiago,28.0,1.0,1.0,0.0,260000.0,False
DEPARTAMENTOLosAndesdeVioletaParra4162,QuintaNormal,35.0,1.0,1.0,0.0,250000.0,True
"Hermosodpto,ubicadoenbarriorepública$320000sinmuebles)",Santiago,40.0,1.0,1.0,0.0,320000.0,False
DepartamentoEnArriendoQuintaNormal,QuintaNormal,49.0,2.0,1.0,1.0,450000.0,False
Dueñoarriendadpto2dormfrenteametrohospitales,Independencia,53.0,2.0,1.0,0.0,380000.0,False
PROMO2MESES$340.000DPTOAMOBLADOQUINTANORMA,QuintaNormal,35.0,1.0,1.0,0.0,380000.0,True
DeptoBlancoEncalada/beauchef1dorm/estac/bod(metro),Santiago,35.0,1.0,1.0,1.0,385000.0,True
"ARRIENDOACOGEDORACASITAINTERIORPERSONASOLA,PAREJACHILENA",Maipú,43.0,1.0,1.0,0.0,315000.0,False
DepartamentoCALLELOSOLMOS3031COMUNAMACUL,Macul,54.0,2.0,2.0,0.0,465000.0,False
DEPARTAMENTONatanielCox331,Santiago,35.0,1.0,1.0,0.0,310000.0,False
ArriendodeptoenLaFlorida-1dorm1baño,LaFlorida,35.0,1.0,1.0,0.0,350000.0,True
ArriendoDepto.1D/1B-EstaciónCentral,EstaciónCentral,31.0,1.0,1.0,0.0,230000.0,False
"METRODEPARTAMENTAL,ARRIENDO1DCON1B.",SanMiguel,34.0,1.0,1.0,0.0,300000.0,False
DEPARTAMENTODIAGONALSANTAELENA2565,SanJoaquín,50.0,2.0,1.0,0.0,430000.0,False
MaríaLuisaSantander/Condell/FullAmoblado,Providencia,64.0,2.0,2.0,1.0,1175520.0,False
DepartamentoenTilTil,Ñuñoa,60.0,2.0,1.0,0.0,400000.0,False
DepartamentoenDomingoFaustinoSarmiento,Ñuñoa,36.0,1.0,1.0,1.0,587760.0,False
DepartamentoenRosas,Santiago,35.0,1.0,1.0,1.0,430000.0,False
DEPTO2D/1B/E/BODapasosdelmetroSanMiguel,SanMiguel,52.0,2.0,1.0,1.0,422000.0,True
DEPARTAMENTOColon6479,LaCisterna,65.0,3.0,1.0,0.0,350000.0,True
DepartamentoenCalleElMolino,Independencia,27.0,1.0,1.0,0.0,290000.0,False
DepartamentoCALLESANTAROSA835-METROMATTA2D+1B1ERMES50%DSCTO,Santiago,40.0,2.0,1.0,0.0,320000.0,False
DEPARTAMENTOVicunaMackena,Santiago,52.0,2.0,1.0,0.0,330000.0,True
HERMOSOYAMPLIODEP02H02B01TERRAZAYESTACIONAMIENTOSANIGNACIODELOYOLA633,Santiago,68.0,2.0,2.0,1.0,400000.0,False
DUEÑOARRIENDAEXCELENTEDEPTOCENTROA2CUADRASMETROBELLASARTESPRECIOSAVISTA,Santiago,35.0,1.0,1.0,0.0,330000.0,True
Arriendo-ComunaSanMiguel-Santiago,SanMiguel,65.0,3.0,2.0,1.0,650000.0,True
Departamentoreciénremodelado!SanPablo1503,Santiago,52.0,2.0,1.0,0.0,330000.0,True
DEPARTAMENTOCarmen110,Santiago,35.0,1.0,1.0,0.0,280000.0,True
ArriendoDepartamentoSantiagoCentroCod.2308,Santiago,35.0,1.0,1.0,0.0,280000.0,True
DEPARTAMENTOMetroCerroBlanco,Recoleta,53.0,2.0,2.0,0.0,360000.0,False
ExcelenteDptoConEstacionamiento.Cod.143,Ñuñoa,35.0,1.0,1.0,1.0,600000.0,True
Departamento3D+1BconestacionamientoStaRosaII-Arriendasudueño,SanMiguel,65.0,3.0,1.0,1.0,400000.0,True
DepartamentoSantiagoCentro,Santiago,35.0,1.0,1.0,0.0,300000.0,True
DEPARTAMENTOMetroLoVial,SanMiguel,38.0,1.0,1.0,0.0,300000.0,False
DEPARTAMENTOObispoUmaña030,EstaciónCentral,55.0,3.0,2.0,0.0,300000.0,False
Arriendodepartamento,EstaciónCentral,52.0,2.0,1.0,0.0,320000.0,True
Depto2D/2B/E/BODapasosdelmetroL2yL6,SanMiguel,52.0,2.0,2.0,1.0,425000.0,True
Depto2D/1B/E/BODapasosdelmetroL2yL6,SanMiguel,52.0,2.0,1.0,1.0,369000.0,True
Depto.2D/2B/E/BODapasosdelmetroLoVial,SanMiguel,52.0,2.0,2.0,1.0,430000.0,True
"ArriendoDepto1DFullEquipado–MetroLoOvalle,LaCisterna",LaCisterna,35.0,1.0,1.0,0.0,350000.0,True
"Departamentoencuartopiso,unahabitación,ComunadelaCisterna",LaCisterna,35.0,1.0,1.0,0.0,275000.0,True
Arriendodepartamento,EstaciónCentral,35.0,1.0,1.0,0.0,320000.0,False
OFERTAARRIENDODPTO2HAB+2BAÑ+EST+BOINDEPENDENC,Independencia,52.0,2.0,2.0,1.0,480000.0,True
Arriendodepartamentointerior;excelentescondiciones,Maipú,35.0,1.0,1.0,0.0,300000.0,True
Depto1d1bestacióncentral,EstaciónCentral,35.0,1.0,1.0,0.0,300000.0,True
ARRIENDODEPTO.2DORM.+1BAÑO.METROSANALBERTOHURTADO,EstaciónCentral,52.0,2.0,1.0,0.0,280000.0,True
ArriendoDepto.1dormitorio/SINAVAL/50%DCTO/Garantíaenpartes/UniversidaddeSantiago,EstaciónCentral,35.0,1.0,1.0,0.0,250000.0,True
Depto2Destilomariposa/50%DCTO/1MESGRATISGC/Garantíaenpartes/Renca,Renca,46.0,2.0,2.0,0.0,320000.0,False
Luminosodepartamentoremodelado2D/1BenSanDiego,Santiago,41.0,2.0,1.0,0.0,360000.0,False
DepartamentoCALLEZENTENO1490COMUNADESANTIAGO,Santiago,48.0,2.0,1.0,0.0,290000.0,False
SINCOMISION-HipodromoChile/MetroPlazaChacabuco/AvIndependencia,Independencia,40.0,2.0,1.0,0.0,300000.0,False
ArriendoMetroSanAlbertoHurtado2D2B1E(98273),EstaciónCentral,52.0,2.0,2.0,1.0,420000.0,True
ArriendoDepto.1D/1B,EstaciónCentral,33.0,1.0,1.0,0.0,270000.0,False
SanDiego/Victoria/Santiago,Santiago,30.0,1.0,1.0,0.0,220000.0,False
ARRIENDOEXCELENTEDEPARTAMENTOAPASOSDELMETROÑUÑOA,Ñuñoa,121.0,4.0,3.0,2.0,1300000.0,False
Nuevodepartamentode2Dormitorios,LaCisterna,52.0,2.0,2.0,1.0,495000.0,True
"ArriendoDepto2d1bEstac,Bod.EnMetroDepartamental,SanMiguel.",SanMiguel,48.0,2.0,1.0,1.0,460000.0,False
SantaPetronila/Ecuador/MetroLasRejas,EstaciónCentral,30.0,1.0,1.0,1.0,230000.0,False
